,site_id,planned_kiosk_type,installation_status,ppt_id,legacy_id,borough,council_district,community_board,street_address,cross_street_1,cross_street_2,ixn_corner,postcode,zoning,latitude,longitude,installation_complete,activation_complete,neighborhood_tabulation_area_nta,building_identification_number_bin,boroughblocklot_bbl,census_tract_ct,location
0,qu-01-125088,Link1.0,Live,125088,qu-01-125088,Queens,22,401,34-02 BROADWAY,34 STREET,35 STREET,SE,11106,C4-2A,40.760713,-73.922879,2017-04-22,2017-06-08,Astoria,4008830.0,4006220041.0,4005900.0,"(40.760713, -73.922879)"
1,bk-01-160081,Link5G_Ad,Live,,,Brooklyn,34,301,161 VARICK AVENUE,SCHOLES STREET,MESEROLE STREET,,11237,M3-1,40.71108,-73.92862,2024-10-09,2025-03-14,,,3029620001.0,44900.0,"(40.71108, -73.92862)"
2,qu-13-160016,Link5G_Ad,Live,,,Queens,23,413,264-21 UNION TURNPIKE,265th ST,264th ST,W,11004,R2A / C1-2,40.74917,-73.70814,2024-02-29,2025-04-02,Glen Oaks-Floral Park-New Hyde Park,4174076.0,4085400062.0,,"(40.74917, -73.70814)"
3,mn-04-122598,Link1.0,Live,122598,mn-04-122598,Manhattan,3,104,815 8 AVENUE,WEST 49 STREET,WEST 50 STREET,NW,10019,C6-4,40.761816,-73.986606,2016-03-18,2016-04-27,Clinton,1076203.0,1010400029.0,1012700.0,"(40.761816, -73.986606)"
4,mn-05-137210,Link1.0,Live,137210,mn-05-137210,Manhattan,4,105,410 MADISON AVENUE,EAST 48 STREET,EAST 49 STREET,NW,10017,C5-3,40.756742,-73.97653,2017-04-30,2017-05-26,Midtown-Midtown South,1035437.0,1012840014.0,1009400.0,"(40.756742, -73.97653)"
5,bk-02-126506,Link1.0,Live,126506,bk-02-126506,Brooklyn,33,302,339 LIVINGSTON STREET,FLATBUSH AVENUE,NEVINS STREET,NW,11217,C6-4,40.687649,-73.980424,2016-11-13,2017-07-26,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000483.0,3001620001.0,3003700.0,"(40.687649, -73.980424)"
6,bx-02-160005,Link5G_NonAd,Live,,,Bronx,17,202,576 PROSPECT AVENUE,FOX STREET,SOUTHERN BOULEVARD,SE,10455,C1-4,40.812943,-73.904111,2024-02-12,2024-05-03,Longwood,,2026830108.0,,"(40.8129428, -73.9041112)"
7,mn-08-120980,Link1.0,Live,120980,mn-08-120980,Manhattan,4,108,1126 3 AVENUE,EAST 66 STREET,EAST 65 STREET,SW,10065,C1-9,40.76588,-73.963583,2016-03-19,2016-04-22,Upper East Side-Carnegie Hill,1042435.0,1014000040.0,1012000.0,"(40.76588, -73.963583)"
8,mn-12-131054,Link1.0,Live,131054,LINK-014400,Manhattan,10,112,151 NAGLE AVENUE,THAYER STREET,ARDEN STREET,MIDBLOCK,10040,C1-4,40.861094,-73.925852,2022-02-07,2022-05-03,Washington Heights North,1082762.0,1021730029.0,1028300.0,"(40.861094, -73.925852)"
9,mn-06-134374,Link1.0,Live,134374,mn-06-134374,Manhattan,2,106,479 2 AVENUE,EAST 27 STREET,EAST 26 STREET,NW,10016,C1-8A,40.740369,-73.979252,2017-09-26,2017-11-15,Murray Hill-Kips Bay,1019855.0,1009070025.0,1006600.0,"(40.740369, -73.979252)"
