week_end_date,sessions,avg_session_length,unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth_tb,cumulative_sessions,cumulative_subscribers,gb_per_session
2020-01-05,23086410,00:04:07,683250,121.01,12.67,14353.83,2251215052,8461839,0.00592938962792396
2020-01-12,23584159,00:04:07,640118,116.52,11.14,14501.59,2284581863,8502485,0.0055428662942782906
2020-01-19,22004022,00:04:07,592715,114.5,10.52,14626.62,2306585885,8536567,0.005818049082117805
2020-01-26,20245042,00:04:15,602685,118.05,10.13,14754.79,2326830927,8571523,0.00648338096804146
2020-02-02,22356460,00:04:11,617337,120.69,10.94,14886.42,2349187387,8615640,0.00602909047317867
2020-02-09,21393239,00:04:12,618210,121.23,10.85,15018.51,2370580626,8654392,0.006322087085550721
2020-02-16,21011376,00:04:14,612385,120.84,10.62,15149.96,2391592002,8694067,0.006406769361511593
2020-02-23,22624158,00:04:13,596994,122.66,11.11,15283.73,2414216160,8739567,0.006054611181552038
2020-03-01,22771143,00:04:14,609346,123.4,10.53,15418.32,2436987303,8783301,0.006022724463150576
2020-03-08,22365295,00:04:13,601616,120.74,11.2,15549.59,2459352598,8822702,0.00604090221032184
2020-03-15,20527249,00:04:23,550203,121.56,10.65,15681.81,2479879847,8853950,0.006595284151324905
2020-03-22,7590442,00:05:18,357837,58.84,4.62,15745.26,2487470289,8865469,0.008561166793712409
2020-03-29,4738574,00:06:13,269303,92.16,6.85,15844.27,2492208863,8872365,0.02139593894703343
2020-04-05,4589253,00:06:20,254145,92.44,6.93,15943.64,2496798116,8879407,0.022172427626021056
2020-04-12,4445147,00:06:24,243298,94.8,7.37,16045.8,2501305588,8886409,0.023536247507675224
2020-04-19,4507472,00:06:19,243055,88.74,6.93,16141.47,2505750735,8893373,0.021734151648640298
2020-04-26,4461598,00:06:21,242168,89.45,7.08,16238.0,2510212333,8900552,0.02215500365564087
2020-05-03,4833406,00:05:57,255054,87.91,6.9,16332.8,2515045739,8908590,0.020086340770876687
2020-05-10,4888953,00:06:00,254860,88.18,6.84,16427.82,2519934692,8916603,0.01990210992005855
2020-05-17,5169365,00:05:50,262307,86.68,6.93,16521.43,2525104057,8925582,0.018543213721607974
2020-05-24,5272603,00:05:44,268006,83.89,6.45,16611.78,2530376660,8935352,0.017545064553504217
2020-05-31,5633095,00:05:30,280269,81.22,6.77,16699.77,2536009755,8946391,0.015995071980855993
2020-06-07,8168000,00:05:15,320719,104.97,9.17,16813.91,2544177755,8955241,0.014309422135161606
2020-06-14,6163299,00:05:05,293302,77.93,6.55,16898.4,2550341054,8964884,0.014035911611622282
2020-06-21,6389732,00:05:04,302763,82.46,6.94,16987.8,2556730786,8974670,0.014326985857935825
2020-06-28,6724902,00:04:59,313709,79.52,6.95,17074.26,2563455688,8983785,0.013166776259341772
