,week_end_date,sessions,avg_session_length,unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth_tb,cumulative_sessions,cumulative_subscribers,gb_per_session,weekly_session_change_pct,avg_session_length_seconds,avg_session_length_minutes,energy_efficiency,energy_usage_flag
0,2020-01-05,23086410,00:04:07,683250,121.01,12.67,14353.83,2251215052,8461839,0.0059293896279239,,247,4.12,0.006939509486393954,Poor
1,2020-01-12,23584159,00:04:07,640118,116.52,11.14,14501.59,2284581863,8502485,0.0055428662942782,2.16,247,4.12,0.0064899340700997595,Poor
2,2020-01-19,22004022,00:04:07,592715,114.5,10.52,14626.62,2306585885,8536567,0.0058180490821178,-6.7,247,4.12,0.006812380773972261,Poor
3,2020-01-26,20245042,00:04:15,602685,118.05,10.13,14754.79,2326830927,8571523,0.0064833809680414,-7.99,255,4.25,0.007587645755883881,Poor
4,2020-02-02,22356460,00:04:11,617337,120.69,10.94,14886.42,2349187387,8615640,0.0060290904731786,10.43,251,4.18,0.007058651189048919,Poor
5,2020-02-09,21393239,00:04:12,618210,121.23,10.85,15018.51,2370580626,8654392,0.0063220870855507,-4.31,252,4.2,0.007400012780554588,Poor
6,2020-02-16,21011376,00:04:14,612385,120.84,10.62,15149.96,2391592002,8694067,0.0064067693615115,-1.78,254,4.23,0.00749880705833089,Poor
7,2020-02-23,22624158,00:04:13,596994,122.66,11.11,15283.73,2414216160,8739567,0.006054611181552,7.68,253,4.22,0.007090056350377865,Poor
8,2020-03-01,22771143,00:04:14,609346,123.4,10.53,15418.32,2436987303,8783301,0.0060227244631505,0.65,254,4.23,0.007052255487372445,Poor
9,2020-03-08,22365295,00:04:13,601616,120.74,11.2,15549.59,2459352598,8822702,0.0060409022103218,-1.78,253,4.22,0.007073366671599896,Poor
10,2020-03-15,20527249,00:04:23,550203,121.56,10.65,15681.81,2479879847,8853950,0.0065952841513249,-8.22,263,4.38,0.007722629501889434,Poor
11,2020-03-22,7590442,00:05:18,357837,58.84,4.62,15745.26,2487470289,8865469,0.0085611667937124,-63.02,318,5.3,0.009988859898690368,Poor
12,2020-03-29,4738574,00:06:13,269303,92.16,6.85,15844.27,2492208863,8872365,0.0213959389470334,-37.57,373,6.22,0.024921747934492675,Poor
13,2020-04-05,4589253,00:06:20,254145,92.44,6.93,15943.64,2496798116,8879407,0.022172427626021,-3.15,380,6.33,0.02583275475815253,Poor
14,2020-04-12,4445147,00:06:24,243298,94.8,7.37,16045.8,2501305588,8886409,0.0235362475076752,-3.14,384,6.4,0.027424811225201365,Fair
15,2020-04-19,4507472,00:06:19,243055,88.74,6.93,16141.47,2505750735,8893373,0.0217341516486402,1.4,379,6.32,0.025328569379238677,Poor
16,2020-04-26,4461598,00:06:21,242168,89.45,7.08,16238.0,2510212333,8900552,0.0221550036556408,-1.02,381,6.35,0.025817417396867617,Poor
17,2020-05-03,4833406,00:05:57,255054,87.91,6.9,16332.8,2515045739,8908590,0.0200863407708766,8.33,357,5.95,0.023412963495476304,Poor
